INVOICE,SECURITY-CODE,LAB-ID
4397241,VFRV,12039
4397240,ZWEX,12010
4397242,KDTV,12028
4397239,MPGV,12108
4401776,WTUX,12394
4401775,KDNB,12413
4401773,YDFT,12425
4401772,NYBN,12426
4401771,DJAV,12363
4401770,NTPZ,12279
4401769,UUAT,12314
4401768,JWKR,12344
4401767,HWGS,12328
4401766,FUGW,12302
4401854,FCXD,12354
4499790,GGMH,12186
4399788,YCMH,12136
4399785,GVDB,12186
4397242,KDTV,12028
4404321,BZMG,12533
4404322,WWPD,12463
4404320,JNHA,12534
4408057,WUJP,12770
4408055,EUEX,12733
2312020029,LANCET,12914
4409885,PRXY,12825
4409882,TSMY,12786
4409884,RYVB,12816
4409887,TRFM,12927
4409888,SBRP,12791
4409889,EVAN,12892
4409890,AFHH,12814
4409891,JSDZ,12938
4409894,HGPH,12777
4409895,ZRMP,12871
4409896,VCER,12852
4409897,XGBF,12790
4414093,GPJJ,13119
4414090,PWKM,13165
4411386,CKMN,13067
4411388,RAYN,13038
4419039,GMTT,13405
4418962,XWVJ,13380
4418961,VGHX,13494
4418957,HXCG,13424
4418954,APUR,13392
4418953,WAWA,13368
4418951,NXWF,13475
4418950,BHFG,13498
2312090078,LANCET,13405
